name,movie_count,avg_rating,director_count,writer_count,actor_count
闫剑波,1,7.1,0,0,1
魏巍,1,7.1,0,0,1
康启轩,2,7.199999999999999,0,0,2
郜玄铭,3,7.233333333333333,0,0,3
李尚,1,7.1,0,0,1
张猛,5,8.02,4,0,1
李松岳,1,7.1,0,0,1
雷阳,1,7.1,0,0,1
薛媛媛,1,7.1,0,0,1
杨兆超,1,7.1,0,0,1
王硕,2,8.25,0,0,2
谭玉龙,1,7.1,0,0,1
董润年,3,8.133333333333333,2,0,1
大鹏,25,7.763999999999999,5,0,20
白客,11,7.727272727272728,0,0,11
庄达菲,4,6.675000000000001,0,0,4
王迅,35,7.685714285714286,0,0,35
孙艺洲,8,7.0874999999999995,0,0,8
李乃文,14,7.357142857142857,0,0,14
欧阳奋强,3,6.933333333333334,2,0,1
童漠男,2,7.8,0,0,2
大木,1,8.1,0,0,1
晃晃,1,8.1,0,0,1
衣云鹤,5,8.040000000000001,0,0,5
杨磊,2,8.149999999999999,1,0,1
李栋,2,6.5,0,0,2
王学东,1,8.1,0,0,1
赵天爱,1,8.1,0,0,1
王皓,4,6.9,0,0,4
宋木子,3,6.3,0,0,3
合文俊,2,7.25,0,0,2
李飞,5,6.82,0,0,5
石老板,1,8.1,0,0,1
六兽,1,8.1,0,0,1
卢庚戌,2,7.9,1,0,1
鄂靖文,5,7.82,0,0,5
李萍,6,7.183333333333333,0,0,6
刘頔,6,6.633333333333334,0,0,6
韩寒,5,8.66,3,0,2
范丞丞,5,5.86,0,0,5
尹正,11,7.363636363636363,0,0,11
张本煜,11,7.572727272727272,0,0,11
郑恺,24,7.733333333333333,0,0,24
冯绍峰,30,7.833333333333333,0,0,30
黄景瑜,5,7.220000000000001,0,0,5
刘昊然,10,7.639999999999999,0,0,10
于适,2,6.9,0,0,2
阎鹤祥,2,7.4,0,0,2
高华阳,5,8.139999999999999,0,0,5
孙强,3,5.866666666666667,0,0,3
范高翔,1,7.6,0,0,1
郝瀚,4,6.824999999999999,0,0,4
张艺谋,24,8.316666666666668,23,0,1
易烊千玺,7,7.028571428571428,0,0,7
张译,20,8.41,0,0,20
雷佳音,17,7.629411764705882,0,0,17
岳云鹏,14,7.200000000000002,0,0,14
王佳怡,1,7.0,0,0,1
潘斌龙,19,7.726315789473683,0,0,19
余皑磊,23,7.52608695652174,0,0,23
郭京飞,18,8.105555555555556,0,0,18
欧豪,13,7.461538461538463,0,0,13
黄炎,1,7.0,0,0,1
许静雅,1,7.0,0,0,1
蒋鹏宇,1,7.0,0,0,1
林博洋,2,6.5,0,0,2
飞凡,2,7.15,0,0,2
任思诺,1,7.0,0,0,1
陈永胜,1,7.0,0,0,1
张壹男,1,7.0,0,0,1
尹丽川,3,7.766666666666666,3,0,0
咏梅,8,8.6125,0,0,8
姜武,29,7.896551724137932,0,0,29
吴倩,3,8.233333333333334,0,0,3
马苏,7,8.657142857142857,0,0,7
艾丽娅,14,7.028571428571429,0,0,14
李易祥,6,7.216666666666666,0,0,6
李嘉鑫,2,7.3500000000000005,0,0,2
吴泽南,1,8.8,0,0,1
陈玺旭,3,7.733333333333333,0,0,3
崔月梅,1,6.7,1,0,0
刘源,2,7.449999999999999,1,0,1
谢君伟,1,6.7,1,0,0
邹靖,1,6.7,1,0,0
黄鹤宇,1,6.7,1,0,0
刘一林,1,6.7,1,0,0
卢力峰,1,6.7,0,0,1
林强,11,7.045454545454546,0,0,11
张赫,6,7.116666666666667,0,0,6
陈子平,3,7.5,0,0,3
傅铂涵,1,6.7,0,0,1
橙璃,1,6.7,0,0,1
刘校妤,13,7.3307692307692305,0,0,13
谷江山,2,6.550000000000001,0,0,2
谢轶辉,1,6.7,0,0,1
傅婷云,1,6.7,0,0,1
杨默,4,7.324999999999999,0,0,4
李诗萌,3,6.800000000000001,0,0,3
孙路路,1,6.7,0,0,1
林超贤,11,8.31818181818182,11,0,0
黄轩,15,7.74,0,0,15
张涵予,28,8.264285714285714,0,0,28
段奕宏,19,7.9421052631578934,0,0,19
王俊凯,6,7.833333333333333,0,0,6
杜江,8,7.85,0,0,8
李晨,31,7.451612903225805,1,0,30
蒋璐霞,12,7.691666666666666,0,0,12
韩东君,3,6.2,0,0,3
李九霄,10,7.19,0,0,10
高戈,3,6.933333333333334,0,0,3
孙毅,1,6.2,0,0,1
于震,3,7.333333333333333,0,0,3
袁文康,13,7.746153846153846,0,0,13
叶禾,1,6.2,0,0,1
翟宇佳,2,5.5,0,0,2
李璟羿,1,6.2,0,0,1
王子宸,1,6.2,0,0,1
郭洺宇,2,7.25,0,0,2
杜晓帆,1,6.2,0,0,1
杜燕歌,1,6.2,0,0,1
刘循子墨,4,8.125000000000002,1,0,3
邓家佳,16,7.5875,0,0,16
喻恩泰,9,7.28888888888889,0,0,9
杨皓宇,12,7.324999999999999,0,0,12
陈明昊,2,7.550000000000001,0,0,2
秦霄贤,1,7.4,0,0,1
柯达,4,7.325000000000001,0,0,4
邓恩熙,4,7.975,0,0,4
赵文瑄,11,7.4363636363636365,0,0,11
小爱,7,6.542857142857143,0,0,7
周奇,2,6.15,0,0,2
徐峥,28,8.696428571428571,3,0,25
马伊琍,11,8.036363636363637,0,0,11
吴越,5,6.220000000000001,0,0,5
倪虹洁,18,7.677777777777779,0,0,18
黄明昊,1,8.1,0,0,1
王影璐,4,6.675000000000001,0,0,4
张芝华,4,7.675000000000001,0,0,4
吴冕,1,8.1,0,0,1
哈姆扎·阿萨尔,1,8.1,0,0,1
孙思瀚,2,7.35,0,0,2
赵胤胤,1,8.1,0,0,1
卫莱,3,7.466666666666666,0,0,3
赵国云,1,8.1,0,0,1
杨蔚岚,1,8.1,0,0,1
白红卫,1,8.1,0,0,1
史航,6,7.883333333333333,0,0,6
张吃鱼,2,8.0,2,0,0
常远,20,6.955,0,0,20
李诚儒,9,7.2555555555555555,0,0,9
黄才伦,6,8.049999999999999,0,0,6
黄子韬,4,7.874999999999999,0,0,4
高海宝,3,6.666666666666667,0,0,3
杨铮,1,6.6,0,0,1
张熙然,2,6.199999999999999,0,0,2
黄品沅,1,6.6,0,0,1
徐志胜,2,5.8,0,0,2
杜晓宇,3,6.666666666666667,0,0,3
李海银,4,6.324999999999999,0,0,4
王赞,2,8.05,0,0,2
李唯贺,3,5.766666666666667,0,0,3
孟芷旭,2,6.4,0,0,2
赵一霖,1,6.6,0,0,1
陈可辛,5,8.2,5,0,0
章子怡,22,8.09090909090909,0,0,22
王传君,14,7.242857142857143,0,0,14
梅婷,13,7.761538461538461,0,0,13
赵丽颖,10,7.25,0,0,10
刘润萱,1,5.6,0,0,1
安娜·柯克,1,5.6,0,0,1
杨幂,28,7.985714285714286,0,0,28
康春雷,2,6.4,0,0,2
张羽霖,1,5.6,0,0,1
彭昱畅,7,7.785714285714286,0,0,7
尹昉,7,8.142857142857142,0,0,7
沈佳妮,1,5.6,0,0,1
陈国庆,1,5.6,0,0,1
张建亚,6,6.733333333333333,4,0,2
李现,4,7.6499999999999995,0,0,4
徐祥,2,6.1,0,0,2
范伟,30,8.033333333333333,0,0,30
龙飞,3,6.466666666666666,1,0,2
胡歌,11,7.472727272727274,0,0,11
高圆圆,19,8.38421052631579,0,0,19
岳红,9,7.199999999999999,0,0,9
金靖,2,6.5,0,0,2
刘钧,2,7.15,0,0,2
甘昀宸,4,6.0,0,0,4
刘仪伟,21,7.8047619047619055,2,0,19
张鲁一,4,8.799999999999999,0,0,4
袁弘,7,7.5,0,0,7
王真儿,6,7.716666666666668,0,0,6
赫子铭,4,6.975,0,0,4
滕哲,3,6.1000000000000005,0,0,3
路阳,5,8.18,3,0,2
董子健,12,8.016666666666666,0,0,12
于和伟,12,8.025,0,0,12
董洁,10,7.730000000000001,0,0,10
王圣迪,4,6.8,0,0,4
杨轶,5,7.9,0,0,5
刘天佐,10,7.2,0,0,10
李柄辉,1,6.5,0,0,1
萧子墨,1,6.5,0,0,1
双雪涛,1,6.5,0,0,1
刘迅,3,6.3999999999999995,0,0,3
李士刚,1,6.5,0,0,1
袁帅,1,6.5,0,0,1
任杰,2,7.35,0,0,2
李军,2,6.95,0,0,2
陈铁军,2,6.65,0,0,2
李泰延,3,6.7,0,0,3
张优,6,7.166666666666667,0,0,6
张戈,2,6.75,0,0,2
谭天宇,1,6.5,0,0,1
虞书欣,2,5.95,0,0,2
高睿菲儿,1,6.5,0,0,1
吴振熙,1,6.5,0,0,1
王为成,1,6.5,0,0,1
黄皓达,1,6.5,0,0,1
韩陌,1,6.5,0,0,1
赵尤若男,1,6.5,0,0,1
康嘉泽,1,6.5,0,0,1
王洁,1,6.5,0,0,1
伍艺,1,6.5,0,0,1
张懿,1,6.5,0,0,1
李楠,3,7.166666666666667,0,0,3
关乐,1,6.5,0,0,1
马一萍,1,6.5,0,0,1
徐克,19,8.084210526315792,18,0,1
张曼玉,5,8.8,0,0,5
王祖贤,3,8.0,0,0,3
赵文卓,12,7.925,0,0,12
吴兴国,7,6.628571428571428,0,0,7
马精武,12,8.233333333333333,0,0,12
