name,rating,types,directors,actors
酱园弄·悬案,5.6,剧情 / 犯罪,陈可辛,章子怡 / 王传君 / 易烊千玺 / 梅婷 / 赵丽颖 / 雷佳音 / 刘润萱 / 章宇 / 安娜·柯克 / 杨幂 / 康春雷 / 张羽霖 / 彭昱畅 / 尹昉 / 沈佳妮 / 陈国庆 / 张建亚 / 周野芒 / 大鹏 / 李现 / 徐祥 / 孙强 / 范伟
走走停停,8.0,剧情 / 喜剧 / 家庭,龙飞,胡歌 / 高圆圆 / 岳红 / 周野芒 / 金靖 / 刘钧 / 甘昀宸 / 刘仪伟 / 张鲁一 / 袁弘 / 王真儿 / 赫子铭 / 小爱 / 滕哲
刺杀小说家,6.5,动作 / 奇幻 / 冒险,路阳,雷佳音 / 杨幂 / 董子健 / 于和伟 / 郭京飞 / 佟丽娅 / 董洁 / 王圣迪 / 杨轶 / 刘天佐 / 李柄辉 / 萧子墨 / 双雪涛 / 徐建 / 刘迅 / 李士刚 / 袁帅 / 任杰 / 李军 / 陈铁军 / 李泰延 / 张优 / 张戈 / 谭天宇 / 虞书欣 / 高睿菲儿 / 吴振熙 / 王为成 / 黄皓达 / 韩陌 / 赵尤若男 / 康嘉泽 / 王洁 / 伍艺 / 张懿 / 李楠 / 关乐 / 马一萍
青蛇,8.6,剧情 / 爱情 / 奇幻 / 古装,徐克,张曼玉 / 王祖贤 / 赵文卓 / 吴兴国 / 马精武 / 田丰 / 刘洵
误杀2,5.7,剧情 / 犯罪,戴墨,肖央 / 任达华 / 文咏珊 / 陈雨锶 / 宋洋 / 李治廷 / 张世 / 尹子维 / 姜皓文 / 陈昊 / 周楚濋 / 王昊泽 / 强巴才丹
无名之辈：否极泰来,5.6,喜剧 / 犯罪,饶晓志,章宇 / 任素汐 / 潘斌龙 / 马吟吟 / 国义骞 / 玛丽莎·安妮塔·范·德·伍德 / 麻明 / 谢波 / 狮子侠 / 柏华力·莫高彼斯彻 / 阿蕾亚·蓬富特拉库尔 / 纳塔蒙·阿姆卡诺克
从21世纪安全撤离,7.3,喜剧 / 科幻,李阳,张若昀 / 钟楚曦 / 宋洋 / 吴晓亮 / 朱颜曼滋 / 李晨浩 / 温峥嵘 / 石凉 / 陈一辰 / 李卓钊 / 康启轩 / 马凡丁
河边的错误,7.2,剧情 / 犯罪,魏书钧,朱一龙 / 曾美慧孜 / 侯天来 / 佟林楷 / 康春雷 / 王健宇 / 莫西子诗 / 白沙 / 曹阳 / 周庆昀 / 曾淇 / 黄俊 / 黄米依 / 阎鹤祥 / 周游
九龙城寨之围城,7.2,动作 / 犯罪,郑保瑞,古天乐 / 洪金宝 / 任贤齐 / 林峯 / 刘俊谦 / 黄德斌 / 伍允龙 / 胡子彤 / 张文杰 / 廖子妤 / 郭富城 / 蔡思韵 / 黄梓乐
坚如磐石,6.0,剧情 / 动作 / 犯罪,张艺谋,雷佳音 / 张国立 / 于和伟 / 周冬雨 / 孙艺洲 / 李乃文 / 许亚军 / 田雨 / 何政军 / 徐子力 / 林博洋 / 陈童 / 陈道明 / 陈冲 / 王迅 / 赵亮 / 焦刚 / 楚布花羯
向阳·花,6.2,剧情 / 犯罪,冯小刚,赵丽颖 / 兰西雅 / 啜妮 / 王菊 / 程潇 / 王啸宇 / 钱漪 / 杨晨汐 / 李慧君 / 陈执愔 / 朱廉熹 / 杨云英 / 梁星 / 陈国栋 / 张诗礼 / 熊月良
末路狂花钱,5.3,剧情 / 喜剧,乌日娜,贾冰 / 谭卓 / 小沈阳 / 于洋 / 董宝石 / 李嘉琦 / 张百乔 / 李宗恒 / 刘嘉裕 / 李琦 / 周大勇 / 马旭东 / 魏来 / 马驰 / 李海银 / 庄小龙 / 莎尔娜·玛格达瑶 / 冯满 / 田野 / 刘坤 / 张金条 / 王天放 / 徐震松 / 万国鹏 / 于晞悦 / 黄曾鸿辰
新神榜：杨戬,7.0,动作 / 动画 / 奇幻 / 冒险,赵霁,王凯 / 季冠霖 / 李立宏 / 李兰陵 / 赵毅 / 刘校妤 / 文靖渊 / 汤水雨 / 星潮 / 邱秋 / 杨天翔 / 孟宇 / 杨默 / 赵铭洲 / 李楠 / 林强 / 刘琮 / 锦鲤 / 沈良骏 / 赵霁 / 胡亚捷 / 韩乐
乔妍的心事,5.3,剧情 / 悬疑,赵德胤,赵丽颖 / 辛芷蕾 / 黄觉 / 董宝石 / 安沺 / 小爱 / 王梓薇 / 张帆 / 冯雪雅 / 韩玺曈 / 杭程宇 / 崔俊 / 甫枭虎 / 李延 / 张会苓 / 王福安
刺猬,7.3,剧情 / 喜剧 / 家庭,顾长卫,葛优 / 王俊凯 / 李萍 / 刘威葳 / 耿乐 / 张本煜 / 赵千紫 / 李千逸 / 吕行 / 朱怀旭 / 蒋灵儿 / 朱亚男 / 恩美 / 李汀珝 / 范明 / 毛阿敏 / 王自健 / 任素汐 / 吴双 / 刘雅瑟 / 潘斌龙
解密,6.0,剧情 / 历史,陈思诚,刘昊然 / 约翰·库萨克 / 陈道明 / 吴彦祖 / 俞飞鸿 / 陈思诚 / 任璐遥 / 陈雨锶 / 王雨甜 / 周游 / 朱珠 / 曹翠芬 / 吴彦姝 / 许还山 / 王宝强 / 肖央 / 潘粤明 / 沙宝亮 / 欧阳娜娜 / 谷嘉诚 / 邱心志 / 王龙正 / 袁近辉 / 冯雪雅
你的婚礼,4.7,爱情,韩天,许光汉 / 章若楠 / 丁冠森 / 晏紫东 / 郭丞 / 王莎莎 / 梁靖康 / 刘迅
想见你,6.2,爱情 / 悬疑 / 奇幻,黄天仁,柯佳嬿 / 许光汉 / 施柏宇 / 金世佳 / 贺灵榣 / 郭文颐 / 张毓晨
象山发光事件,5.7,悬疑 / 惊悚,赵域,小沈阳 / 王唯 / 张登平 / 倪景阳 / 田理 / 董芷依 / 胡涂 / 李欧 / 孟和乌力吉
大场面,6.1,喜剧 / 灾难,李季,王天放 / 马旭东 / 管乐 / 滕哲 / 吕严 / 叶浏 / 张祐维 / 李飞 / 土豆 / 张呈 / 王议伟 / 郭帆 / 张艺兴
前任4：英年早婚,5.5,喜剧 / 爱情,田羽生,韩庚 / 郑恺 / 于文文 / 刘雅瑟 / 曾梦雪 / 张天爱 / 朱颜曼滋 / 罗米 / 冯铭潮 / 药一樍 / 于惠 / 苗艺博 / 田羽生 / 张栾
这么多年,6.4,剧情 / 爱情 / 家庭,季竹青,张新成 / 孙千 / 刘丹 / 陶海 / 吴俊霆 / 李光复 / 章若楠 / 徐方舟 / 孙美林 / 陈似锦 / 凌正辉 / 希童
交换人生,5.0,喜剧 / 家庭 / 奇幻,苏伦,雷佳音 / 张小斐 / 张宥浩 / 沙溢 / 刘敏涛 / 余皑磊 / 丁嘉丽 / 吴彦姝 / 杨恩又 / 曹桐睿 / 岳云鹏 / 杨迪 / 徐志胜 / 宋家腾 / 赖晓生 / 裴魁山 / 蒋赟 / 李胤维  / 傅首尔 / 王莎莎
白日之下,7.8,剧情 / 犯罪,简君晋,姜大卫 / 余香凝 / 林保怡 / 梁仲恒 / 陈湛文 / 周汉宁 / 梁雍婷 / 龚慈恩 / 宝珮如 / 朱柏谦 / 朱栢康 / 许月湘 / 胡枫 / 鲍起静 / 高翰文 / 彭杏英 / 罗浩铭 / 谭玉瑛 / 吴浣仪 / 刘沛蘅 / 梁天尺
浪浪山小妖怪,8.5,剧情 / 喜剧 / 动画 / 奇幻,於水,陈子平 / 路扬 / 董汶亮 / 刘琮 / 林强 / 张闻天 / 李盟 / 陈喆 / 付博文 / 王上斌 / 於水 / 吴旭 / 韩冬青 / 姜小亮
奇遇,7.0,喜剧,马多,贾冰 / 王皓 / 李梦 / 郑合惠子 / 杨皓宇 / 翟子路 / 于洋 / 费启鸣 / 李乃文 / 马旭东 / 邓帅 / 李治良 / 冯满 / 郝瀚 / 李飞 / 小沈阳 / 徐浩伦 / 谭湘文 / 唐香玉
狂野时代,6.5,剧情 / 科幻,毕赣,易烊千玺 / 舒淇 / 赵又廷 / 李庚希 / 黄觉 / 陈永忠 / 郭沐橙 / 张志坚 / 曾美慧孜 / 闫楠
南京照相馆,8.8,剧情 / 历史 / 战争,申奥,刘昊然 / 王传君 / 高叶 / 王骁 / 周游 / 杨恩又 / 原岛大地 / 王真儿 / 杨皓宇 / 刘亦淳
长安的荔枝,7.5,剧情 / 喜剧 / 古装,大鹏,大鹏 / 白客 / 庄达菲 / 刘俊谦 / 刘德华 / 杨幂 / 常远 / 魏翔 / 王迅 / 孙阳 / 林雪 / 宋小宝 / 付航 / 张若昀 / 杨环宇 / 刘旸 / 金广发 / 闫佩伦 / 童漠男 / 衣云鹤 / 梁植 / 刘仁铖 / 罗圣灯 / 苗若芃 / 梁超 / 贾樟柯 / 樊登 / 孙悦 / 大冰 / 王雨甜 / 王梓尘 / 严丰 / 王议伟 / 郭丰周 / 刘占奎 / 冯力宪 / 易佳莫 / 孙睿 / 顾有利 / 肖涵齐 / 王艺龙 / 马伯庸 / 毛方圆 / 李冠言昕
左撇子女孩,7.0,剧情,邹时擎,马士媛 / 蔡淑臻 / 叶子绮 / 黄镫辉 / 陈慕义 / 赵心妍 / 夏腾宏 / 林嫣 / 张允曦 / 陈秋柳 / 江国宾 / 陈妤蓁 / 林宴慈 / 韩亚熙 / 魏汶骏 / 陈衍儒 / 谢涵羽 / 郑永岳 / 雷擎 / 冯庭扬
消失的她,6.2,悬疑 / 犯罪,崔睿 / 刘翔,朱一龙 / 倪妮 / 文咏珊 / 杜江 / 黄子琪 / 柯国庆 / 孟芷旭 / 张诣文含 / 祝海钰 / 于诚群 / 陈孟奇 / 迪马·沙斗 / 建康
长津湖,7.4,剧情 / 历史 / 战争,陈凯歌 / 徐克 / 林超贤,吴京 / 易烊千玺 / 段奕宏 / 朱亚文 / 李晨 / 韩东君 / 胡军 / 张涵予 / 黄轩 / 欧豪 / 史彭元 / 李岷城 / 唐国强 / 杨一威 / 周小斌 / 林永健 / 王宁 / 刘劲 / 卢奇 / 王伍福 / 耿乐 / 曹阳 / 李军 / 王同辉 / 艾米 / 石昊正 / 许明虎
破·地狱,8.3,剧情 / 家庭,陈茂贤,黄子华 / 许冠文 / 卫诗雅 / 朱栢康 / 周家怡 / 秦沛 / 金燕玲 / 韦罗莎 / 梁雍婷 / 白只 / 钟雪莹
人生大事,7.3,剧情 / 家庭,刘江江,朱一龙 / 杨恩又 / 王戈 / 刘陆 / 罗京民 / 吴倩 / 郑卫莉 / 陈创 / 李春嫒 / 钟宇升 / 刘亚津 / 小爱 / 韩延
宇宙探索编辑部,8.0,喜剧 / 科幻,孔大山,杨皓宇 / 艾丽娅 / 王一通 / 蒋奇明 / 盛晨晨 / 郭帆 / 龚格尔 / 洛翼云 / 罗娟 / 关云桐 / 王雪怡 / 郎武媚 / 崔丽淑 / 王禹 / 刘琦 / 孙晓晨 / 陈萍 / 宋敬东 / 谭天 / 何力 / 鲜志彬 / 李迪 / 傅春洋 / 唐颖 / 邓皓荣 / 李丹妮 / 张亚萝 / 王耀刚
