name,rating,types,directors,actors
推拿,8.6,剧情,娄烨,郭晓东/秦昊/张磊/梅婷/黄轩/黄璐/黄军军/姜丹/穆怀鹏
老男孩猛龙过江,8.6,剧情/喜剧,肖央,肖央/王太利/屈菁菁/郝凯瑞/曲婉婷
西游记之大闹天宫,8.6,动作/奇幻,郑保瑞,甄子丹/周润发/郭富城/何润东/海一天/夏梓桐/陈乔恩/陈慧琳/梁咏琪/张梓琳/郑家星/刘桦/张兆辉/罗仲谦/李菁/汪圆圆/梁雨恩
一夜惊喜,8.6,喜剧/爱情,金依萌,范冰冰/李治廷/吴佩慈/蒋劲夫/丹尼尔·海尼/刘维/倪虹洁/黎明/徐峥/黄一飞/钟丽缇
青春派,8.6,剧情/爱情,刘杰,董子健/秦海璐/咏梅/焦刚/安悦溪/郄路通/蒋雪鸣/高浩元/谭楚枫/李天浩/蒋小涵/侯孝贤/龙然
天机·富春山居图,8.6,动作/冒险,孙健君,刘德华/林志玲/张静初/佟大为/斯琴高娃/奥马尔·本·哈依德/爱新觉罗·启星/石天琦/王曼妮/张光北
浮城谜事,8.6,剧情/犯罪,娄烨,郝蕾/秦昊/齐溪/朱亚文/祖峰/常方源/瞿颖
二次曝光,8.6,剧情/爱情/悬疑,李玉,范冰冰/冯绍峰/霍思燕/陈冲/孔维/姚安濂/梁静/方励
白鹿原,8.6,剧情/历史,王全安,张丰毅/张雨绮/段奕宏/吴刚/刘威/成泰燊/郭涛
消失的子弹,8.6,动作/悬疑/犯罪,罗志良,谢霆锋/刘青云/杨幂/井柏然/廖启智/吴刚/郑希怡/江一燕/高虎/王紫逸
我愿意,8.6,喜剧/爱情,孙周,李冰冰/孙红雷/段奕宏/薛佳凝/张俪
星空,8.6,剧情/爱情/奇幻,林书宇,徐娇/林晖闵/刘若英/庾澄庆/桂纶镁/蔡淑臻
画壁,8.6,剧情/动作/爱情/奇幻,陈嘉上,邓超/孙俪/闫妮/郑爽/柳岩/谢楠/邹兆龙/包贝尔/曾志伟/莫小棋/安志杰/包文婧/夏一瑶/蓝盈莹
白蛇传说,8.6,动作/爱情/奇幻/古装,程小东,李连杰/黄圣依/林峯/蔡卓妍/文章/徐若瑄/姜武/杨千嬅/杜汶泽/罗家英/郭羡妮/林雪
全球热恋,8.6,喜剧/爱情,陈国辉/夏永康,刘若英/郭富城/陈奕迅/桂纶镁/杨颖/井柏然/徐帆/刘金山/杜海涛
不再让你孤单,8.6,剧情/爱情,刘伟强,刘烨/舒淇/田亮/冯丹滢/黄秋生/萨日娜/张颂文/高天/连凯
倩女幽魂,8.6,剧情/惊悚/奇幻/古装,叶伟信,刘亦菲/古天乐/余少群/惠英红/樊少皇/林鹏/巩新亮/王丹怡栗/徐锦江
新少林寺,8.6,剧情/动作,陈木胜,刘德华/谢霆锋/范冰冰/成龙/吴京/余少群/熊欣欣/于海/释彦能/白冰/景珂/岛田瑠那
线人,8.6,剧情/动作/惊悚,林超贤,谢霆锋/张家辉/桂纶镁/陆毅/苗圃/廖启智/钟舒漫/吴浩康/郭政鸿/梁小冰
恋爱通告,8.6,喜剧/爱情,王力宏,王力宏/刘亦菲/曾轶可/陈汉典/陈冲/乔振宇/谢娜/谢园/方大同
枪王之王,8.6,动作/悬疑/惊悚,尔冬升,古天乐/吴彦祖/李冰冰/蔡卓妍/杜汶泽/方中信/连凯/林雪/王敏德
海洋天堂,8.6,剧情,薛晓路,李连杰/文章/桂纶镁/朱媛媛/董勇/高圆圆/严敏裘/咏梅/陈燃/张新华
大兵小将,8.6,喜剧/动作/冒险,丁晟,成龙/王力宏/刘承俊/杜玉明/林鹏/徐冬梅/王宝强/于荣光/卢惠光/晋松/吴樾/新七小福
锦衣卫,8.6,剧情/动作/惊悚/武侠/古装,李仁港,甄子丹/赵薇/吴尊/徐子珊/戚玉武/陈观泰/午马/洪金宝/罗家英/刘松仁
斗牛,8.6,剧情/喜剧,管虎,黄渤/闫妮/高虎/来喜/胡晓光/刘向京/陶泽如/孙松
赤壁(下),8.6,动作/历史/战争/古装,吴宇森,梁朝伟/金城武/张丰毅/赵薇/佟大为/林志玲/张震/胡军/尤勇/中村狮童/宋佳/巴森/臧金生
梅兰芳,8.6,剧情/传记/历史,陈凯歌,黎明/章子怡/孙红雷/陈红/王学圻/余少群/英达/安藤政信/潘粤明/吴刚/石小满/六平直政/钱波/毕彦君/张少华/李明臣/柳景溪/李滨/陈强/于小彤/尹治/李胜素
女人不坏,8.6,喜剧,徐克,周迅/桂纶镁/张雨绮/冯德伦/方中信/彭于晏/高以翔/沈羽倩/张之亮/郭在容/方平
十全九美,8.6,喜剧/古装,王岳伦,立威廉/黄奕/刘桦/邓家佳/李彧/李昌元/李晓川/汪涵
大灌篮,8.6,喜剧/运动,朱延平,周杰伦/陈柏霖/陈楚河/蔡卓妍/曾志伟/黄渤/吴孟达/吴宗宪/王刚/闫妮/刘畊宏/李立群
盲山,8.6,剧情/犯罪,李杨,黄璐/杨幼安/贺运乐/张玉玲/张友平/李杨
云水谣,8.6,剧情/爱情/战争,尹力,陈坤/徐若瑄/李冰冰/归亚蕾/秦汉/梁洛施/朱茵/张致恒
情癫大圣,8.6,剧情/喜剧/动作/爱情/奇幻,刘镇伟,谢霆锋/蔡卓妍/范冰冰/陈柏霖/梁洛施/关智斌/张致恒/钟镇涛/谭耀文/元华/惠英红/黎耀祥
一个陌生女人的来信,8.6,剧情/爱情,徐静蕾,徐静蕾/姜文/黄觉/焦晃/孙飞虎/苏小明/林源/马恩然
十七岁的单车,8.6,剧情,王小帅,崔林/李滨/周迅/高圆圆/李梦男/赵毅维/李爽/汪妍/张蕾/常佳茵/庞燕/周芳菲/谢荐/马玉红/李坚/张扬/王育忠/惠维/纪华/张宇/任厚刚
一个都不能少,8.6,剧情/喜剧,张艺谋,魏敏芝/张慧科/田正达/高恩满/孙志梅/冯玉英/李凡凡/张艺长/徐占青/刘汉芝/马国林/武万录/刘茹/王淑兰/付新民/白梅
宝莲灯,8.6,动画,常光希,姜文/徐帆/宁静/陈佩斯/崔杰/丁嘉丽/江平/雷恪生/梁天/马精武/马羚/马晓晴
不见不散,8.6,喜剧/爱情,冯小刚,葛优/徐帆
有话好好说,8.6,剧情/喜剧,张艺谋,姜文/李保田/瞿颖/刘信义/葛优/李雪健/尤勇/张艺谋/赵本山/焦刚/梁冠华/李琦/方青卓/杜旭东/傅彪/陈晓花/李强/常戎/张伟平
追龙Ⅱ,8.5,剧情/动作/犯罪,王晶/关智耀,梁家辉/古天乐/林家栋/邱意浓/叶项明/任达华/杜江/王敏德/余安安/韦家雄/陈伟雄/黄竣锋/王宝葆/秦煌
四个春天,8.5,纪录片/家庭,陆庆屹,陆运坤/李桂贤/陆庆伟/陆庆松/陆庆屹
大象席地而坐,8.5,剧情,胡波,彭昱畅/章宇/王玉雯/李从喜/董向荣/王柠/赵燕国彰/朱颜曼滋/凌正辉/王超北/王雪洋
灵魂摆渡·黄泉,8.5,悬疑/惊悚/奇幻,巨兴茂,于毅/何花/王瑞昌/岳丽娜/倪虹洁/巨兴茂/鲁佳妮
南极之恋,8.5,爱情/冒险,吴有音,赵又廷/杨子姗
纯洁心灵·逐梦演艺圈,8.5,剧情/喜剧,毕志飞,朱一文/李彦漫/陈思瀚/张芷榕/毕志飞/蒋龙/薛皓/王渊慧/辛祚宇/兰海隆/姜珮瑶/郭庭/王笑一/马瑜遥/张琳然/刘子铭/王曲浩然/杨佳佳/刘玲钰
拆弹专家,8.5,动作/悬疑/犯罪,邱礼涛,刘德华/姜武/宋佳/吴卓羲/姜皓文/王紫逸/黄日华/石修/廖启智/张竣杰/蔡瀚亿/张继聪/李国麟/骆应钧/尹扬明/卢惠光/何华超
健忘村,8.5,剧情/喜剧/奇幻/古装,陈玉勋,舒淇/王千源/张孝全/曾志伟/杨祐宁/张少怀/许杰辉/林美秀/顾宝明/陈竹昇/柯宇纶/黄健玮
大闹天竺,8.5,喜剧/动作/冒险,王宝强,王宝强/白客/岳云鹏/柳岩/黄渤/林永健/马浴柯/陈佩斯/朱时茂/王祖蓝/刘昊然
铁道飞虎,8.5,喜剧/动作,丁晟,成龙/黄子韬/王凯/王大陆/徐帆/刘德华/张蓝心/吴永伦/桑平/房祖名/池内博之/那威/何伟/耿长军/矢野浩二/张艺上/高木贞佑
28岁未成年,8.5,喜剧/爱情/奇幻,张末,倪妮/霍建华/马苏/王大陆/潘斌龙/隋凯/刘恩佳/余心恬/汪汐潮/来喜/曲哲明
绝地逃亡,8.5,喜剧/动作,雷尼·哈林,成龙/范冰冰/约翰尼·诺克斯维尔/曾志伟/王敏德/赵文瑄/伊芙·托雷斯/郭品超/施诗/延政勋/张蓝心/吉丽/托马尔·奥兹/保罗·菲利普·克拉克/吴耀汉
陆垚知马俐,8.5,喜剧/爱情,文章,包贝尔/宋佳/朱亚文/焦俊艳/郭京飞/郭涛/马伊琍/李晨/陈赫/常远/包文婧/九孔/于莎莎/张一鸣/文章
三人行,8.5,剧情/动作/犯罪,杜琪峰,赵薇/古天乐/钟汉良/卢海鹏/林雪/张兆辉/谢天华/洪天明/黄浩然/龚慈恩/王梓轩/欧锦棠/何果轩/詹秉熙/菁玮/朱健钧/杨尚斌/安小龙/麦子乐/施祖男
陪安东尼度过漫长岁月,8.5,剧情/爱情,秦小珍,刘畅/白百何/唐艺昕/白举纲/金世佳/江一燕/高圣远/禾浩辰/宋芸桦/潘虹/于荣光/卢燕
前任2：备胎反击战,8.5,喜剧/爱情,田羽生,郑恺/郭采洁/王传君/张殿伦/张艺兴
咱们结婚吧,8.5,喜剧/爱情,刘江,高圆圆/姜武/李晨/郑恺/陈意涵/郭碧婷/刘涛/王自健/明道/萨日娜/张铎/大左/莫小棋/屠洪刚/英壮/朱佳煜/范明/江平/王彤/刘天池
失孤,8.5,剧情,彭三源,刘德华/井柏然/吴君如/梁家辉/倪景阳/孙海英/许娣/刘雅瑟
天将雄师,8.5,动作/战争/古装,李仁港,成龙/约翰·库萨克/艾德里安·布洛迪/崔始源/林鹏/王若心/肖央/王太利/洪天照/刘承俊/萝莉·佩斯特/冯绍峰/吴建豪/林嘉欣/沙妮·文森/西蒙子
十万个冷笑话,8.5,喜剧/动画/奇幻,卢恒宇/李姝洁,阿杰/皇贞季/宝木中阳/山新/申秋香/图特哈蒙/卢恒宇/黎筱濛
我的早更女友,8.5,喜剧/爱情,郭在容,周迅/佟大为/钟汉良/张梓琳/郭书瑶/陈辉虹/李静/白客/吴彼/莫熙儿
太平轮(上),8.5,剧情/爱情/战争,吴宇森,章子怡/金城武/宋慧乔/黄晓明/佟大为/长泽雅美/秦海璐/俞飞鸿/杨祐宁/杨贵媚/丛珊/吴飞霞/于震/王千源/林保怡/林美秀/高捷/黄柏钧/寇家瑞/许还幻/尤勇/刘仪伟/黑木瞳/寇世勋
单身男女2,8.5,喜剧/爱情,杜琪峰,古天乐/杨千嬅/高圆圆/周渝民/吴彦祖/林雪
一生一世,8.5,爱情,邹佡,谢霆锋/高圆圆/杜海涛/洛诗/林雪/车晓/李文玲/史彭元/施欣怡/秦昊/安雅/佟大为/高捷/臧天朔
闺蜜,8.5,喜剧/爱情,黄真真,陈意涵/薛凯琪/杨子姗/余文乐/钟汉良/吴建豪
京城81号,8.5,剧情/悬疑/恐怖,叶伟民,吴镇宇/林心如/杨祐宁/秦海璐/莫小棋/金燕玲/袁祥仁/夏文汐/李菁/李晓川/韩志/张煜雯
整容日记,8.5,喜剧/爱情,林爱华,白百何/郑中基/张瑶/郭京飞/金尤美/王宇媛/李潇潇/周艳平/万薇
爸爸去哪儿,8.5,喜剧/家庭/儿童,谢涤葵/林妍,林志颖/小小志/王岳伦/王诗龄/张亮/张悦轩/田亮/田雨橙/郭涛/郭子睿/李锐/何炅
警察故事2013,8.5,剧情/动作/犯罪,丁晟,成龙/刘烨/景甜/殷桃/那威/刘仪伟/柳海龙/周晓鸥/于荣光/吴樾/刘佩琦/古力娜扎
我想和你好好的,8.5,剧情/爱情,李蔚然,冯绍峰/倪妮/钮宝平/周德华/常小婧/马斯瑟/郭晓小
太极1：从零开始,8.5,喜剧/动作/奇幻/武侠/古装,冯德伦,袁晓超/梁家辉/杨颖/彭于晏/冯绍峰/舒淇/刘伟强/谢欣颖/熊欣欣/冯克安/梁小龙/陈思诚/熊乃瑾/英达/冯德伦/刘碧丽
边境风云,8.5,剧情/犯罪,程耳,孙红雷/王珞丹/张默/杨坤/倪大红/陈曦/高叶
麦兜·当当伴我心,8.5,喜剧/动画,谢立文,黄秋生/吴君如/胡歌/郑中基/许飞
痞子英雄之全面开战,8.5,剧情/动作/犯罪,蔡岳勋,黄渤/赵又廷/杨颖/关颖/戴立忍/高捷/杜德伟/藤冈靛/汤志伟/林暐恒
鸿门宴传奇,8.5,剧情/动作/爱情/历史/古装,李仁港,黎明/冯绍峰/刘亦菲/张涵予/黄秋生/陈小春/安志杰/贾青/孙文婷/孟瞳迪/黄姿琪/修庆/丁海峰/徐向东/陈观泰/午马/陈之辉/杜玉明
转山,8.5,剧情/冒险,杜家毅,张书豪/李晓川/李桃/钮承泽
关云长,8.5,动作/传记/历史/古装,麦兆辉/庄文强,甄子丹/姜文/孙俪/方中信/李宗翰/赵柯/王学兵/钱小豪/邵兵/董勇/王柏杰
万有引力,8.5,剧情/喜剧/爱情/悬疑,赵天宇,文章/白百何/郭涛/张静初/戴立忍/莫文蔚/段博文/黄幻
大笑江湖,8.5,动作/爱情/武侠/古装,朱延平,小沈阳/林熙蕾/赵本山/程野/陈志朋/徐少强/吴宗宪/曾志伟/梁家仁/恬妞/毕畅/翟星月/小小彬/黄一飞
三枪拍案惊奇,8.5,喜剧/悬疑/古装,张艺谋,小沈阳/闫妮/孙红雷/倪大红/程野/毛毛/赵本山
麦兜响当当,8.5,喜剧/动画,谢立文,黄渤/黄秋生/吴君如/宋丹丹/詹瑞文/邵夷贝/郭君彦/张正中/张立昆/尹光
爱情呼叫转移Ⅱ：爱情左右,8.5,喜剧/爱情,张建亚,林嘉欣/邓超/黄渤/范伟/古巨基/黄磊/苏有朋/佟大为/黄晓明/保阪尚希/陆毅/聂远/林雨申/张峻宁/白冰/丛珊/孟广美/徐峥/朱时茂
证人,8.5,动作/惊悚,林超贤,谢霆锋/张静初/张家辉/苗圃/廖启智/钟舒漫
立春,8.5,剧情,顾长卫,蒋雯丽/张瑶/李光洁/董璇/焦刚/吴国华
导火线,8.5,动作,叶伟信,甄子丹/古天乐/吕良伟/范冰冰/邹兆龙/释彦能/郑则仕/许晴/林国斌/汪圆圆/洪天明/何华超/夏萍/罗兰
苹果,8.5,剧情/情色,李玉,梁家辉/佟大为/范冰冰/金燕玲/曾美慧孜
伤城,8.5,剧情/惊悚/犯罪,刘伟强/麦兆辉,梁朝伟/金城武/徐静蕾/舒淇/杜汶泽/岳华/尹扬明/黄伊汶/黎耀祥/张锦程
三峡好人,8.5,剧情/爱情,贾樟柯,赵涛/韩三明/王宏伟/李竹斌/项海渔/周林/马礼珍/兰周/李金生/潘建林/李永忠/陈凯/骆明望/陈容虎/江得平/唐灵/蒋世萍/张勇/田继全/程建/何忠明/汪庆松/汪建红/刘昌桥/朱记成/方传安/钱值贵/谭长鑫/兰天烟/余代其
看上去很美,8.5,剧情/喜剧,张元,董博文/宁元元/李昕芸/陈曼媛
孔雀,8.5,剧情/家庭,顾长卫,张静初/冯瓅/吕聿来/黄梅莹/刘冠成/安静/于小伟
我的父亲母亲,8.5,剧情/爱情,张艺谋,章子怡/郑昊/孙红雷/李滨/嵇波/宋运成
小武,8.5,剧情,贾樟柯,王宏伟/郝鸿建/左夏初
黄飞鸿之三：狮王争霸,8.5,动作/武侠/古装,徐克,李连杰/关之琳/莫少聪/熊欣欣/刘洵/庄域飞/葛存壮/赵箭
最好的我们,8.4,剧情/爱情,章笛沙,陈飞宇/何蓝逗/惠英红/陶慧敏/汪苏泷/董力/蒋紫嫣/周楚濋/方文强/王初伊/高文峰/陈帅/秦昊/张小厚
一吻定情,8.4,喜剧/爱情,陈玉珊,王大陆/林允/陈柏融/蔡思韵/邰智源/李铭顺/钟丽缇/郭书瑶
廉政风云,8.4,剧情/悬疑/犯罪,麦兆辉,刘青云/张家辉/林嘉欣/袁咏仪/方中信/陈家乐/汤怡/骆应钧/吴岱融/常倩/吴浩康
天气预爆,8.4,喜剧/奇幻,肖央,肖央/杜鹃/常远/小沈阳/岳云鹏/王小利/衣云鹤/蔡明
胖子行动队,8.4,喜剧/动作,包贝尔,文章/包贝尔/郭京飞/李成敏/辣目洋子/许君聪/曾一竣/张梦露/戚玉武/仓田保昭/木幡龙/宋佳/文隽
不成问题的问题,8.4,剧情,梅峰,范伟/殷桃/张超/史依弘/王一鸣/王梓桐/蒋中伟/冯满天/梁霆炜/王侃伟/俞颖
十万个冷笑话2,8.4,喜剧/动画/奇幻,卢恒宇/李姝洁,山新/郝祥海/李姝洁/藤新/图特哈蒙/李佳怡/佟心竹/九孔/卢恒宇/宝木中阳
绝世高手,8.4,喜剧/动作,卢正雨,卢正雨/郭采洁/范伟/蔡国庆/陈冲/仓田保昭/孔连顺/黄龄/杨迪/柯达/艾伦/赵英俊/魏翔/汪聪/何蓝逗
明月几时有,8.4,剧情/历史/战争,许鞍华,周迅/彭于晏/霍建华/叶德娴/郭涛/春夏/黄志忠/蒋雯丽/梁家辉/王菀之/吕良伟/鲍起静/李灿森/梁文道/张兆辉/冯淬帆/苑琼丹/唐宁/卢巧音/许鞍华/永濑正敏/森田凉花/廖骏雄/何华超/蔡瀚亿/欧锦棠/熊欣欣/吴岱融
你好，疯子！,8.4,剧情/喜剧/悬疑,饶晓志,万茜/周一围/王自健/金士杰/李虹辰/莫小棋/刘亮佐/曹卫宇
三少爷的剑,8.4,剧情/动作/武侠/古装,尔冬升,林更新/何润东/江一燕/蒋梦婕/鲍起静/顾曹斌/马京京/徐少强/顾冠忠/吴元俊/陆剑明/方平/原岛大地/林朝绪/宋伊人/铁男/王美英/飞儿/赵英龙/胡锦超/林晨/佟仲琪/田淼/寇骏/张小米/郭九龙/王德顺/刘广超/吴优/包小平
夏有乔木 雅望天堂,8.4,爱情,赵真奎,吴亦凡/韩庚/卢杉/包贝尔/周元/张瑶
惊天大逆转,8.4,剧情/悬疑/犯罪,李骏,钟汉良/李政宰/郎月婷/李彩英
一念天堂,8.4,喜剧,张承,沈腾/马丽/杜晓宇/林雪/王子子/李元鹏/苏志丹/徐若琪/齐海洋
怦然星动,8.4,喜剧/爱情,陈国辉,杨幂/李易峰/陈数/王耀庆/张云龙/迪丽热巴/金世佳
剩者为王,8.4,剧情/爱情,落落,舒淇/彭于晏/潘虹/金士杰/邢佳栋/郝蕾/熊黛林
新娘大作战,8.4,喜剧/爱情,陈国辉,杨颖/倪妮/陈晓/朱亚文/何炅/刘金山/王一楠/奚望/井柏然/杜海涛/黄晓明/冯绍峰
少年班,8.4,剧情/喜剧,肖洋,孙红雷/周冬雨/董子健/王栎鑫/柳希龙/李佳奇/王紫璇/赵立新/王森
钟馗伏魔：雪妖魔灵,8.4,动作/爱情/奇幻,鲍德熹/赵天宇,陈坤/李冰冰/赵文瑄/杨子姗/包贝尔/吉克隽逸
一个人的武林,8.4,动作/惊悚,陈德森,甄子丹/王宝强/杨采妮/白冰/方中信/樊少皇/释彦能/姜大卫/喻亢/思漩/吴浩康/纪焕博/王嘉慧/张文杰/刘伟强/郭子健/孟海/邹文怀/袁祥仁/张蓝心/元彬
白发魔女传之明月天国,8.4,动作/爱情/奇幻/武侠/古装,张之亮,范冰冰/黄晓明/赵文卓/王学兵/倪大红/童瑶/李欣汝/叶童/严屹宽/杜奕衡/赖晓生
人间·小团圆,8.4,剧情,彭浩翔,古天乐/曾志伟/杨千嬅/梁咏琪/吴孟达/吴家丽/蔡洁/李汶桂/余文乐/杜汶泽/陈静/郑希怡
特殊身份,8.4,动作/犯罪,霍耀良,甄子丹/景甜/安志杰/张涵予/郑中基/邹兆龙/鲍起静/卢惠光/吴志雄/杨志刚/何华超/尹子维
大上海,8.4,剧情/动作,王晶,周润发/黄晓明/洪金宝/吴镇宇/袁泉/袁立/莫小棋/童菲/高虎/辛柏青/戚迹/冯文娟/张颂文
危险关系,8.4,剧情/爱情,许秦豪,章子怡/张东健/张柏芝/窦骁/卢燕/王奕瑾
第一次,8.4,爱情,韩延,杨颖/赵又廷/江珊/赵树海/田沅/赵英俊/袁咏琳/白百何/黄轩
大追捕,8.4,剧情/动作/悬疑/惊悚/犯罪,周显扬,张家辉/任达华/王敏德/文咏珊/谢安琪/余安安/张国强/骆应钧/洪卓立/窦骁/田壮壮/刘家辉/恭硕良/卢惠光
逆战,8.4,剧情/动作/惊悚/犯罪,林超贤,周杰伦/谢霆锋/林鹏/白冰/安志杰/廖启智/吴嘉龙/洪天照/姜皓文/李馨巧/金燕玲/吴浩康
亲密敌人,8.4,剧情/爱情,徐静蕾,徐静蕾/黄立行/梁咏琪/钟丽缇/赵宝刚/王敏德/李治廷/刘仪伟/苏小明/李艾/林源/陈奂仁/尹子维
幸福额度,8.4,喜剧/爱情,陈正道,林志玲/廖凡/陈坤/杨祐宁/张小燕
雪花秘扇,8.4,剧情/历史,王颖,李冰冰/全智贤/姜武/邬君梅/休·杰克曼/王盛德/蒋怡/胡晴云/高圣远
我知女人心,8.4,喜剧/爱情,陈大明,刘德华/巩俐/袁立/陈志朋/李诚儒/胡静/安雅/罗素/胡凯莉/虞俊达/潘霜霜/赵晨浩
最强囍事,8.4,喜剧/爱情,陈庆嘉/秦小珍,张柏芝/古天乐/甄子丹/刘嘉玲/黄百鸣/闫妮/熊黛林/杜汶泽/杨颖/汪圆圆/郑中基
精武风云·陈真,8.4,动作,刘伟强,甄子丹/舒淇/黄秋生/黄渤/霍思燕/周扬/木幡龙/凯洱/余文乐/仓田保昭/吕晓霖
无人驾驶,8.4,剧情/爱情,张杨,刘烨/高圆圆/李小冉/陈建斌/林心如/王珞丹/黄轩/尤勇/胡一虎/张延/林依轮/王子文/张然
80'后,8.4,剧情,李芳芳,刘冬/黄宥明/伊娜/陶灏景/铁政/武文佳/史可/赵越/张立/周韦彤
花田喜事2010,8.4,喜剧/爱情/古装,黄百鸣/邱礼涛,黄百鸣/吴君如/古天乐/郑中基/潘粤明/熊黛林/杨颖/李香琴/田蕊妮
孔子,8.4,剧情/传记/历史/古装,胡玫,周润发/周迅/陈建斌/任泉/陆毅/姚橹/张凯丽/王斑/许还山/马精武/毕彦君/李欣汝/刘峰超/李文波/阚金明/马东延
刺陵,8.4,动作/冒险,朱延平,周杰伦/林志玲/陈道明/苗圃/曾志伟/陈楚河/刘畊宏/曾江/黄一飞/刘波
窈窕绅士,8.4,喜剧/爱情,李巨源,孙红雷/林熙蕾/洪小铃/冼色丽/苑新雨
爱有来生,8.4,剧情/爱情,俞飞鸿,俞飞鸿/段奕宏/李佳/姚橹/涂松岩
春风沉醉的夜晚,8.4,剧情/同性,娄烨,秦昊/陈思诚/谭卓/吴伟/江佳奇/张颂文
桃花运,8.4,剧情/喜剧/爱情,马俪文,葛优/邬君梅/范冰冰/丛珊/宋佳/郭涛/梅婷/耿乐/元秋/李晨/李小璐/段奕宏/刘震云/李凤绪/陈西贝/厉娜/高菲
三国之见龙卸甲,8.4,剧情/动作/历史/战争,李仁港,刘德华/洪金宝/李美琪/吴建豪/濮存昕/安志杰/于荣光/岳华/狄龙/刘松仁/丁海峰/姜宏波
双食记,8.4,剧情/爱情/悬疑,赵天宇,吴镇宇/余男/江一燕/朱雨辰
男儿本色,8.4,动作/犯罪,陈木胜,谢霆锋/余文乐/房祖名/吴京/安志杰/江若琳
落叶归根,8.4,剧情/喜剧,张杨,赵本山/郭德纲/洪启文/宋丹丹/胡军/廖凡/午马/郭涛/夏雨/孙海英/刘金山
墨攻,8.4,剧情/动作/战争,张之亮,刘德华/安圣基/范冰冰/王志文/吴奇隆/钱小豪/崔始源/午马/洪天照/于承惠/林永健
东京审判,8.4,剧情/历史/战争/犯罪,高群书,刘松仁/朱孝天/曾江/谢君豪/林熙蕾/英达/曾志伟
龙虎门,8.4,剧情/动作,叶伟信,甄子丹/谢霆锋/余文乐/董洁/李小冉/元华/陈观泰/释彦能/阮民安/邓萃雯/梁洛施/官恩娜
千机变Ⅱ花都大战,8.4,喜剧/动作/奇幻/冒险,元奎/梁柏坚,钟欣潼/蔡卓妍/房祖名/陈柏霖/甄子丹/陈冠希/梁家辉/瞿颖/吴彦祖/成龙/范冰冰/张致恒/关智斌/詹瑞文
寻枪,8.4,剧情/悬疑/犯罪,陆川,姜文/宁静/伍宇娟/刘小宁/魏小平/石凉
蜀山传,8.4,动作/奇幻/武侠/古装,徐克,郑伊健/张柏芝/古天乐/谭耀文/林熙蕾/洪金宝/章子怡/吴京/刘洵/吴樾
没完没了,8.4,剧情/喜剧,冯小刚,葛优/吴倩莲/傅彪/徐帆/刘蓓/刘威/韩童生/秦焰/何冰/张涵予/丁志城/张秋芳/孙红雷/王中磊/卡迪琳娜
秋菊打官司,8.4,剧情,张艺谋,巩俐/刘佩琦/雷恪生/戈治均/杨柳春/朱万清/崔络纹/杨惠琴/王建法/林子/叶军
芙蓉镇,8.4,剧情/爱情,谢晋,刘晓庆/姜文/郑在石/张光北/徐松子/祝士彬/刘利年
送我上青云,8.3,剧情,滕丛丛,姚晨/袁弘/李九霄/梁冠华/杨新鸣/吴玉芳
一条狗的使命2,8.3,剧情/喜剧/家庭,盖尔·曼库索,丹尼斯·奎德/凯瑟琳·普雷斯科特/刘宪华/玛格·海根柏格/贝蒂·吉尔平/乔什·加德/艾比·莱德·弗特森/杰克·曼利/达妮埃拉·巴博萨/陈琦烨/杰夫·罗普/吉姆·科比
沉默的证人,8.3,动作/犯罪,雷尼·哈林,张家辉/杨紫/任贤齐/李成敏/冯嘉怡/陈家乐/马书良/欧阳靖/郭晋安/吴卓羲/郭羡妮/明鹏
神探蒲松龄,8.3,喜剧/动作/奇幻,严嘉,成龙/阮经天/钟楚曦/林柏宏/林鹏/乔杉/潘长江/苑琼丹/刘智福/刘智满/刘智堂/姜嫄
昨日青空,8.3,爱情/动画,奚超,苏尚卿/王一博/段艺璇/马斑马/林强
黄金兄弟,8.3,动作/犯罪,钱嘉乐,郑伊健/陈小春/谢天华/钱嘉乐/林晓峰/曾志伟/佘诗曼/雅玫/吴永伦
欧洲攻略,8.3,喜剧/动作/爱情,马楚成,梁朝伟/吴亦凡/唐嫣/杜鹃/林子祥/华栖龙/雅各布 格拉夫/元秋/刘家勇/罗莽/谢婷婷/周小飞/林德信/陈语安/黎烈弓/杰佳·亚宁
龙虾刑警,8.3,喜剧/动作/犯罪,李昕芸,王千源/袁姗姗/刘桦/周游/周云鹏/张锦程/沈腾
21克拉,8.3,喜剧/爱情,何念,郭京飞/迪丽热巴/大鹏/包贝尔/刘芮麟/王厂长/张钟仪/榕榕/张杨智子
空天猎,8.3,剧情/动作/战争,李晨,李晨/范冰冰/王千源/李佳航/赵达/李晨浩/郭洺宇/叶浏/陆思宇/托马尔·奥兹/吴秀波/邓超/王学圻
破·局,8.3,动作/犯罪,连奕琦,郭富城/王千源/刘涛/余皑磊/冯嘉怡/郑凯
侠盗联盟,8.3,动作/冒险,冯德伦,刘德华/舒淇/张静初/杨祐宁/让·雷诺/曾志伟/沙溢/游天翼/张益群
逆时营救,8.3,动作/科幻,尹鸿承,杨幂/霍建华/金士杰/刘畅/张艺瀚/王俐丹
“吃吃”的爱,8.3,喜剧/爱情/奇幻,蔡康永,徐熙娣/林志玲/金世佳/李子峰/陈汉典/范湉湉/傅雷/沈玉琳/梁赫群/赵正平/高山峰/马国贤/利晴天/曾恺玹/陈为民/小钟/谢依霖/仇佩佩/小甜甜/黄腾浩/郭文颐/张立东/杨升达/韩宜邦
