movie_id,name,year,rating,directors_count,writers_count,actors_count,total_persons
1501,侠僧探案传奇之大兴赌坊,0,7.1,1,0,2,3
1502,侠僧探案传奇之白马镖局,0,7.1,1,0,4,5
1503,校花驾到之极品校花,0,7.1,1,0,4,5
1504,天河,0,7.1,2,0,17,19
1505,喵星少年漂流记,0,7.1,5,0,5,10
1506,床下有人2,0,7.1,1,0,8,9
1507,碟仙诡谭,0,7.1,1,0,11,12
1508,猪猪侠之勇闯巨人岛,0,7.1,2,0,4,6
1509,城市游戏,0,7.1,2,0,6,8
1510,警察日记,0,7.1,1,0,6,7
1511,化妆师,0,7.1,2,0,9,11
1512,林中小屋,0,7.1,1,0,8,9
1513,一个屌丝的自我修养,0,7.1,1,0,7,8
1514,古镇凶灵之巫咒缠身,0,7.1,1,0,8,9
1515,粉红女郎之爱人快跑,0,7.1,1,0,12,13
1516,玛德2号,0,7.1,1,0,10,11
1517,我爱灰太狼2,0,7.1,1,0,3,4
1518,咒·丝,0,7.1,2,0,6,8
1519,刺夜,0,7.1,2,0,6,8
1520,甜蜜18岁,0,7.1,1,0,5,6
1521,楼,0,7.1,1,0,7,8
1522,青春雷锋,0,7.1,1,0,7,8
1523,幸福迷途,0,7.1,2,0,10,12
1524,三个未婚妈妈,0,7.1,1,0,6,7
1525,毕业那年,0,7.1,1,0,7,8
1526,稍安勿躁,0,7.1,1,0,6,7
1527,残梦,0,7.1,1,0,8,9
1528,魅妆,0,7.1,1,0,3,4
1529,堵车,0,7.1,1,0,8,9
1530,赛尔号大电影之寻找凤凰神兽,0,7.1,1,0,6,7
1531,致命请柬,0,7.1,1,0,3,4
1532,老虎都要嫁,0,7.1,1,0,13,14
1533,异空危情,0,7.1,1,0,4,5
1534,惊天动地,0,7.1,2,0,10,12
1535,沂蒙六姐妹,0,7.1,1,0,10,11
1536,夜玫瑰,0,7.1,2,0,5,7
1537,千钧。一发,0,7.1,1,0,20,21
1538,青春期,0,7.1,1,0,5,6
1539,意乱情迷,0,7.1,1,0,5,6
1540,寄生人,0,7.1,1,0,5,6
1541,日日夜夜,0,7.1,1,0,3,4
1542,云的南方,0,7.1,1,0,3,4
1543,制服,0,7.1,1,0,2,3
1544,二弟,0,7.1,1,0,6,7
1545,花眼,0,7.1,1,0,7,8
1546,夏日暖洋洋,0,7.1,1,0,6,7
1547,草房子,0,7.1,1,0,7,8
1548,新冷血十三鹰,0,7.1,1,0,3,4
1549,东归英雄传,0,7.1,2,0,7,9
1550,上海假期,0,7.1,1,0,5,6
1551,边走边唱,0,7.1,1,0,4,5
1552,夜盗珍妃墓,0,7.1,1,0,5,6
1553,八旗子弟,0,7.1,1,0,8,9
1554,湘女萧萧,0,7.1,2,0,3,5
1555,海市蜃楼,0,7.1,1,0,4,5
1556,音乐家,0,7.0,1,0,5,6
1557,黄飞鸿之怒海雄风,0,7.0,1,0,8,9
1558,狄仁杰之幽冥道,0,5.0,1,0,5,6
1559,大闹西游,0,7.0,1,0,4,5
1560,画师,0,7.0,2,0,6,8
1561,西北风云,0,7.0,1,0,4,5
1562,我是好人,0,7.0,1,0,6,7
1563,假如王子睡着了,0,7.0,1,0,14,15
1564,坑爹游戏,0,7.0,1,0,8,9
1565,夜闯寡妇村,0,7.0,1,0,9,10
1566,功夫机器侠,0,7.0,1,0,2,3
1567,轻松+愉快,0,7.0,1,0,7,8
1568,冒牌卧底,0,7.0,1,0,7,8
1569,男狐聊斋,0,7.0,1,0,5,6
1570,夺路而逃,0,7.0,1,0,4,5
1571,笔仙撞碟仙,0,7.0,1,0,10,11
1572,在勾引中学会爱2,0,7.0,1,0,2,3
1573,电商时代,0,7.0,1,0,5,6
1574,昆塔：盒子总动员,0,7.0,1,0,6,7
1575,诱狼,0,7.0,1,0,6,7
1576,我是奋青,0,7.0,1,0,8,9
1577,告别,0,7.0,1,0,5,6
1578,阴阳先生,0,7.0,1,0,5,6
1579,惊魂电影院,0,7.0,1,0,9,10
1580,枪过境,0,7.0,1,0,5,6
1581,侠僧探案传奇之将军府,0,7.0,1,0,2,3
1582,侠僧探案传奇之开封府,0,7.0,1,0,2,3
1583,怨灵人偶,0,7.0,1,0,5,6
1584,密道追踪之阴兵虎符,0,7.0,1,0,6,7
1585,新大头儿子和小头爸爸之秘密计划,0,7.0,1,0,6,7
1586,摩登森林之美食总动员,0,7.0,1,0,5,6
1587,江南爱情故事,0,7.0,1,0,7,8
1588,迷魂之密室逃脱,0,7.0,1,0,7,8
1589,功夫战斗机,0,7.0,2,0,8,10
1590,火焰山历险记,0,7.0,1,0,9,10
1591,午夜火车,0,7.0,1,0,5,6
1592,危情营救,0,7.0,1,0,4,5
1593,恋爱三万英尺,0,7.0,1,0,7,8
1594,爱谁谁,0,7.0,1,0,8,9
1595,街头之王,0,7.0,2,0,6,8
1596,跑出一片天,0,7.0,2,0,9,11
1597,下一个奇迹,0,7.0,1,0,8,9
1598,赛车传奇,0,7.0,2,0,4,6
1599,郎在对门唱山歌,0,7.0,1,0,5,6
1600,光棍终结者,0,7.0,2,0,6,8
1601,你是哪里人,0,7.0,1,0,13,14
1602,第一书记,0,7.0,1,0,16,17
1603,米香,0,7.0,2,0,4,6
1604,感情生活,0,7.0,1,0,5,6
1605,宝贵的秘密,0,7.0,1,0,21,22
1606,盗版爱情,0,7.0,1,0,6,7
1607,多大事啊,0,7.0,1,0,13,14
1608,果,0,7.0,1,0,3,4
1609,夏天，有风吹过,0,7.0,1,0,19,20
1610,镖行天下之天下镖局,0,7.0,1,0,7,8
1611,夜袭,0,7.0,1,0,15,16
1612,醒狮,0,7.0,2,0,12,14
1613,魔比斯环,0,7.0,1,0,13,14
1614,我心飞翔,0,7.0,1,0,3,4
1615,我爱天上人间,0,7.0,1,0,7,8
1616,嘎达梅林,0,7.0,1,0,2,3
1617,非常夏日,0,7.0,1,0,7,8
1618,减肥旅行团,0,7.0,1,0,6,7
1619,炮打双灯,0,7.0,1,0,5,6
1620,心香,0,7.0,1,0,3,4
1621,看不见的小孩,0,6.9,1,0,6,7
1622,云雾笼罩的山峰,0,6.9,1,0,7,8
1623,最后的日出,0,6.9,1,0,2,3
1624,我儿子去了外星球,0,6.9,1,0,7,8
1625,怪兽,0,6.9,1,0,6,7
1626,说走就走之不说再见,0,6.9,1,0,7,8
1627,李保国,0,6.9,1,0,21,22
1628,九门提督,0,6.9,1,0,6,7
1629,玩世英雄,0,6.9,1,0,4,5
1630,末世人间道,0,6.9,1,0,8,9
1631,新僵尸先生2,0,6.9,1,0,6,7
1632,赛尔号大电影6：圣者无敌,0,6.9,1,0,4,5
1633,冯梦龙传奇,0,6.9,1,0,8,9
1634,猪猪侠之英雄猪少年,0,6.9,2,0,8,10
1635,爸爸的3次婚礼,0,6.9,1,0,8,9
1636,呆呆计划,0,6.9,1,0,13,14
1637,老九门番外之虎骨梅花,0,6.9,1,0,10,11
1638,终极硬汉,0,6.9,2,0,10,12
1639,龙拳小子,0,6.9,2,0,20,22
1640,大梦西游,0,6.9,1,0,3,4
1641,诡影迷情,0,6.9,2,0,4,6
1642,魔卡行动,0,6.9,1,0,15,16
1643,笔仙魔咒,0,6.9,1,0,8,9
1644,轩辕剑传奇,0,6.9,1,0,6,7
1645,猪猪侠之终极决战,0,6.9,2,0,7,9
1646,恋爱排班表,0,6.9,1,0,6,7
1647,搏击迷城,0,6.9,1,0,9,10
1648,女神跟我走,0,6.9,1,0,5,6
1649,有我在这里,0,6.9,1,0,5,6
1650,花咒,0,6.9,1,0,8,9
1651,恐怖电影院,0,6.9,1,0,9,10
1652,狙击时刻,0,6.9,1,0,6,7
1653,北回归线,0,6.9,2,0,11,13
1654,超萌英雄,0,6.9,1,0,5,6
1655,聪明的一休之反斗公主,0,6.9,2,0,7,9
1656,201413,0,6.9,2,0,8,10
1657,金箍棒传奇,0,6.9,1,0,6,7
1658,地下室惊魂,0,6.9,1,0,5,6
1659,灰机灰机,0,6.9,1,0,2,3
1660,雨中的树,0,6.9,1,0,12,13
1661,潘多拉的宝剑,0,6.9,1,0,6,7
1662,狂奔蚂蚁,0,6.9,2,0,4,6
1663,惊魂游戏,0,6.9,1,0,7,8
1664,绝录求生,0,6.9,1,0,8,9
1665,湘江北去,0,6.9,1,0,7,8
1666,太阳总在左边,0,6.9,1,0,4,5
1667,老夫子之小水虎传奇,0,6.9,1,0,13,14
1668,初见：停滞的时光,0,6.9,1,0,3,4
1669,虹猫蓝兔火凤凰,0,6.9,3,0,9,12
1670,梦幻诛仙,0,6.9,1,0,5,6
1671,铁人,0,6.9,1,0,4,5
1672,冈拉梅朵,0,6.9,1,0,6,7
1673,两个人的房间,0,6.9,1,0,6,7
1674,江北好人,0,6.9,2,0,4,6
1675,背鸭子的男孩,0,6.9,1,0,3,4
1676,桃花灿烂,0,6.9,1,0,3,4
1677,三十八度,0,6.9,2,0,18,20
1678,国歌,0,6.9,1,0,3,4
1679,好孩子,0,6.9,2,0,5,7
1680,夕照街,0,6.9,1,0,22,23
1681,舞出我人生之舞所不能,0,6.8,1,0,8,9
1682,潜行者,0,6.8,2,0,13,15
1683,春潮,0,6.8,1,0,5,6
1684,海上浮城,0,6.8,1,0,7,8
1685,差等生乔曦,0,6.8,1,0,12,13
1686,兴风作浪,0,6.8,1,0,7,8
1687,四平青年之喋血曼谷,0,6.8,2,0,3,5
1688,恐龙王,0,6.8,1,0,12,13
1689,四大名捕之入梦妖灵,0,6.8,2,0,3,5
1690,星溪的三次奇遇,0,6.8,1,0,3,4
1691,神秘世界历险记4,0,6.8,3,0,9,12
1692,狄仁杰之夺命天眼,0,6.8,1,0,8,9
1693,血十三,0,6.8,1,0,5,6
1694,我是江小白 剧场版,0,6.8,1,0,12,13
1695,钟馗传奇之岁寒三友,0,6.8,1,0,11,12
1696,垫底联盟,0,6.8,1,0,8,9
1697,留夏,0,6.8,1,0,2,3
1698,蝴蝶公墓,0,6.8,1,0,10,11
1699,邹碧华,0,6.8,1,0,7,8
1700,昆塔：反转星球,0,6.8,1,0,11,12
1701,谜证,0,6.8,1,0,14,15
1702,孤岛终结,0,6.8,1,0,8,9
1703,凄灵室,0,6.8,1,0,4,5
1704,老九门番外之恒河杀树,0,6.8,1,0,1,2
1705,减法人生,0,6.8,2,0,12,14
1706,铠甲勇士捕王,0,6.8,1,0,10,11
1707,丢羊,0,6.8,1,0,1,2
1708,最忆是杭州,0,6.8,1,0,2,3
1709,无限斗界之暗夜双龙,0,6.8,2,0,2,4
1710,艾米粒日记,0,6.8,1,0,2,3
1711,筷仙,0,6.8,1,0,9,10
1712,一路向南,0,6.8,1,0,2,3
1713,床下有人3,0,6.8,1,0,5,6
